Date,AAPL,JPM,SPY,TSLA,XOM
2021-01-04,126.40521240234375,112.30847930908203,348.2994384765625,243.2566680908203,34.85148620605469
2021-01-05,127.96804809570312,112.91960144042969,350.6982727050781,245.0366668701172,36.53107452392578
2021-01-06,123.66047668457031,118.2218017578125,352.7948913574219,251.9933319091797,37.46323776245117
2021-01-07,127.88015747070312,122.10416412353516,358.0365295410156,272.0133361816406,37.757171630859375
2021-01-08,128.98391723632812,122.23898315429688,360.0765686035156,293.3399963378906,38.17707061767578
2021-01-11,125.98519897460938,124.06328582763672,357.6493225097656,270.39666748046875,39.33599090576172
2021-01-12,125.80937957763672,126.01341247558594,357.72491455078125,283.14666748046875,40.209381103515625
2021-01-13,127.85086822509766,126.1302261352539,358.6882629394531,284.8033447265625,40.66286087036133
2021-01-14,125.91683959960938,126.8671646118164,357.4320983886719,281.6666564941406,42.25007247924805
2021-01-15,124.18794250488281,124.59347534179688,354.82550048828125,275.38665771484375,40.217769622802734
2021-01-19,124.86192321777344,124.05430603027344,357.6116027832031,281.51666259765625,41.01557922363281
2021-01-20,128.9644012451172,122.19400024414062,362.5604553222656,283.48333740234375,41.595035552978516
2021-01-21,133.69200134277344,121.16949462890625,362.89093017578125,281.663330078125,40.40251922607422
2021-01-22,135.8409423828125,120.23487854003906,361.6065368652344,282.21331787109375,39.83147048950195
2021-01-25,139.60154724121094,118.73406982421875,363.0326843261719,293.6000061035156,39.386375427246094
2021-01-26,139.83596801757812,118.24878692626953,362.46600341796875,294.36334228515625,38.521385192871094
2021-01-27,138.76150512695312,114.90567779541016,353.607177734375,288.0533447265625,38.08469009399414
2021-01-28,133.9069366455078,116.92772674560547,356.6482849121094,278.4766540527344,38.680946350097656
2021-01-29,128.8960418701172,115.63360595703125,349.50823974609375,264.510009765625,37.656402587890625
2021-02-01,131.025390625,116.48737335205078,355.3260803222656,279.9366760253906,37.72357940673828
2021-02-02,131.8556671142578,120.07312774658203,360.3504333496094,290.92999267578125,38.3198356628418
2021-02-03,130.83004760742188,121.44807434082031,360.63372802734375,284.89666748046875,39.82306671142578
2021-02-04,134.19993591308594,124.24296569824219,364.732666015625,283.3299865722656,40.5872802734375
2021-02-05,133.7841796875,124.00033569335938,366.1681213378906,284.07666015625,41.947750091552734
2021-02-08,133.930908203125,125.94152069091797,368.8126220703125,287.8066711425781,43.75331115722656
2021-02-09,133.0504913330078,125.43824005126953,368.5670471191406,283.1533203125,43.240882873535156
2021-02-10,132.44403076171875,125.51013946533203,368.4064636230469,268.2733459472656,43.659358978271484
2021-02-11,132.18966674804688,125.15966033935547,369.00146484375,270.5533447265625,42.56616973876953
2021-02-12,132.4243927001953,126.93903350830078,370.8243103027344,272.0400085449219,43.14693069458008
2021-02-16,130.2918701171875,129.9945831298828,370.5031433105469,265.40667724609375,44.44509506225586
2021-02-17,127.99299621582031,130.39898681640625,370.5882263183594,266.04998779296875,45.136878967285156
2021-02-18,126.88761901855469,130.83934020996094,369.01092529296875,262.4599914550781,44.428016662597656
2021-02-19,127.04412078857422,133.02316284179688,368.3592529296875,260.4333190917969,44.72693634033203
2021-02-22,123.2583236694336,134.27232360839844,365.52593994140625,238.1666717529297,46.37526321411133
2021-02-23,123.12137603759766,135.35072326660156,365.9698486328125,232.94667053222656,47.015804290771484
2021-02-24,122.62246704101562,137.7322235107422,370.0025939941406,247.33999633789062,48.42499542236328
2021-02-25,118.3573226928711,135.8629608154297,361.08709716796875,227.4066619873047,47.6221809387207
2021-02-26,118.62146759033203,132.25927734375,359.2265625,225.1666717529297,46.43503952026367
2021-03-01,125.00936889648438,135.25186157226562,367.9342346191406,239.47666931152344,48.16878128051758
2021-03-02,122.39746856689453,134.81150817871094,365.0632019042969,228.81333923339844,47.88693618774414
2021-03-03,119.404052734375,137.417724609375,360.22772216796875,217.73333740234375,48.27125930786133
2021-03-04,117.51604461669922,135.30581665039062,355.76995849609375,207.14666748046875,50.14165115356445
2021-03-05,118.7779769897461,135.620361328125,362.3148498535156,199.31666564941406,52.03765106201172
2021-03-08,113.82808685302734,137.417724609375,360.5110168457031,187.6666717529297,51.986412048339844
2021-03-09,118.45515441894531,136.4470977783203,365.658203125,224.52667236328125,51.1836051940918
2021-03-10,117.36933135986328,139.4127655029297,367.9342346191406,222.68666076660156,52.755062103271484
2021-03-11,119.30622100830078,138.68484497070312,371.6647644042969,233.1999969482422,52.36220169067383
2021-03-12,118.39645385742188,140.32943725585938,372.1653137207031,231.2433319091797,52.92587661743164
2021-03-15,121.29205322265625,139.6284637451172,374.3847351074219,235.97999572753906,51.57646560668945
2021-03-16,122.83767700195312,137.9569091796875,373.9124755859375,225.6266632080078,50.4832763671875
2021-03-17,122.0453109741211,139.3768310546875,375.1875,233.93666076660156,50.705322265625
2021-03-18,117.90735626220703,141.67742919921875,369.7287292480469,217.72000122070312,48.518943786621094
2021-03-19,117.37909698486328,139.4217987060547,369.04461669921875,218.2899932861328,48.245643615722656
2021-03-22,120.70511627197266,135.6742401123047,371.99139404296875,223.3333282470703,47.75029373168945
2021-03-23,119.87361145019531,134.31724548339844,369.06353759765625,220.72000122070312,47.1609992980957
2021-03-24,117.4769058227539,135.35972595214844,367.1873779296875,210.08999633789062,48.1175422668457
2021-03-25,117.96605682373047,137.09417724609375,369.2530212402344,213.4633331298828,47.98088455200195
2021-03-26,118.5725326538086,139.3768310546875,375.20355224609375,206.23666381835938,49.287593841552734
2021-03-29,118.74862670898438,137.2109832763672,375.01397705078125,203.76333618164062,49.02283477783203
